--------------------------
SDHDF Definition Overview
--------------------------
SDHDF Definition Version: 1.7
Author: Lawrence Toomey
Copyright: CSIRO 2019
--------------------------
SDHDF File Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB03/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB03/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB03/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB03/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB03/weights,Dataset,SDHDF weights dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/SB04,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB04/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB04/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB04/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB04/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB04/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB04/weights,Dataset,SDHDF weights dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/SB05,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB05/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB05/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB05/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
